Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,Partisan Lean,Primary %,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,Party Support?,District_Num
Brianna Westbrook,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,-24.559998999999998,39.720001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,8
Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,-24.559998999999998,60.220001,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,8
Audrey Denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,-21.379998999999998,43.650002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
David Peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,-21.379998999999998,7.3000002,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Jessica Holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,-21.379998999999998,28.540001,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Marty Walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,-21.379998999999998,20.51,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Dotty Nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.62,1.89,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,10
Josh Harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,0.62,35.57,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,10
Michael Eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.62,21.34,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,10
Mike Barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.62,4.98,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,10
Sue Zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.62,17.049999,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,10
Virginia Madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.62,19.17,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,10
TJ Cox,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,11.87,100.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,21
Andrew Janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,-13.41,78.83000200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,22
Bobby Bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,-13.41,12.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,22
Ricardo Franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,-13.41,8.909999800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,22
Kurtis Wilson,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,-25.379998999999998,4.8400002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Mary Helen Barro,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,-25.379998999999998,18.200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Tatiana Matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,-25.379998999999998,42.720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Wendy Reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,-25.379998999999998,34.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Bryan Caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,2.02,38.259997999999996,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,25
Jess Phoenix,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,2.02,13.24,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,25
