Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,Partisan Lean,Primary %,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,Party Support?,District_Num
Nathan Kleinman,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,-3.96,8.6000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2
Tanzie Youngblood,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,-3.96,19.200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2
Will Cunningham,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,-3.96,16.799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2
Andrew Kim,NJ,U.S. House New Jersey District 3,Representative,Regular,6/5/18,Advanced,None,-6.0300002,100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,3
Jim Keady,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Lost,None,-16.01,42.799999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Josh Welle,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Advanced,None,-16.01,57.200001,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Goutam Jois,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,-3.26,14.1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,7
Peter Jacob,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,-3.26,19.1,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,7
Tom Malinowski,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Advanced,None,-3.26,66.800003,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,7
Antoinette Sedillo Lopez,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,13.77,20.610001,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,-1,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Damian Lara,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,13.77,3.29,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Damon Martinez,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,13.77,25.809998999999998,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Debra Haaland,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,13.77,40.59,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Patrick Davis,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,13.77,3.8,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Paul Moya,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,13.77,5.8899999,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Madeline Hildebrandt,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,-11.88,27.379998999999998,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2
Xochitl Torres Small,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Advanced,None,-11.88,72.620003,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2
Clint Koble,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Advanced,None,-13.78,26.129998999999998,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Jack Schofield Jr.,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,-13.78,7.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Jesse Hurley,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,-13.78,8.04,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Patrick Fogarty,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,-13.78,23.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Rick Shepherd,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,-13.78,21.280001000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Vance Alm,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,-13.78,13.22,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Eric Stoltz,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,-3.0799999,7.2399998,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,3
Guy Pinjuv,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,-3.0799999,3.5,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,3
Jack Love,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,-3.0799999,5.8000002,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,3
Michael Weiss,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,-3.0799999,8.1800003,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,3
Richard Hart,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,-3.0799999,4.8499999,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,3
Steve Schiffman,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,-3.0799999,3.51,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,3
Susie Lee,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,-3.0799999,66.910004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,3
Allison Stephens,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,3.8199998999999996,6.02,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,4
Amy Vilela,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,3.8199998999999996,9.1999998,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,4
John Anzalone,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,3.8199998999999996,5.8000002,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,4
Patricia Spearman,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,3.8199998999999996,15.24,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,4
Sid Zeller,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,3.8199998999999996,2.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,4
Steven Horsford,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,3.8199998999999996,61.740002000000004,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4
Allen Rheinhart,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,0.94999999,3.3299999,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0
Bobby Mahendra,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,0.94999999,2.6700001,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0
Daniel Burleigh,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,0.94999999,2.26,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0
David Drew Knight,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,0.94999999,4.4299998,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0
Jacky Rosen,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Advanced,None,0.94999999,77.110001,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0
Jesse Sbaih,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,0.94999999,3.1700001,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0
David Pechefsky,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,-11.63,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Elaine DiMasi,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,-11.63,5.920000099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Kate Browning,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,-11.63,30.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Perry Gershon,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Advanced,None,-11.63,35.450001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Vivian Viloria-Fisher,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,-11.63,16.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1
Max Rose,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Advanced,None,-8.8100004,62.650002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,11
Michael DeVito Jr.,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,-8.8100004,18.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,11
Omar Vaid,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,-8.8100004,8.430000300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,11
Paul Sperling,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,-8.8100004,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,11
Radhakrishna Mohan,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,-8.8100004,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,11
Zach Emig,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,-8.8100004,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,11
Antonio Delgado,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Advanced,None,-6.079999900000001,21.99,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,19
Brian Flynn,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,-6.079999900000001,13.18,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,19
David Clegg,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,-6.079999900000001,11.08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,19
Erin Collier,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,-6.079999900000001,4.8600001,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,19
Gareth Rhodes,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,-6.079999900000001,17.85,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,19
Jeff Beals,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,-6.079999900000001,13.18,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,19
Pat Ryan,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,-6.079999900000001,17.719998999999998,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,19
DuWayne Gregory,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Lost,None,-8.2600002,41.639998999999996,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Liuba Grechen Shirley,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Advanced,None,-8.2600002,57.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2
Dylan Ratigan,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,-11.43,11.91,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,21
Emily Martz,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,-11.43,10.37,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,21
Katie Wilson,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,-11.43,11.68,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,21
Patrick Nelson,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,-11.43,9.119999900000002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,21
Tedra Cobb,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Advanced,None,-11.43,56.009997999999996,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,21
Anthony Brindisi,NY,U.S. House New York District 22,Representative,Regular,6/26/18,Advanced,None,-14.26,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,22
Eddie Sundquist,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,-13.93,6.420000099999999,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Ian Golden,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,-13.93,13.44,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Linda Andrei,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,-13.93,15.33,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Max Della Pia,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,-13.93,32.400002,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Tracy Mitrano,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Advanced,None,-13.93,32.299999,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,23
Dana Balter,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Advanced,None,4.139999899999999,62.380001,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,24
Juanita Perez Williams,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Lost,None,4.139999899999999,37.23,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,24
Adam McFadden,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,14.62,17.450001,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,25
Joseph Morelle,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Advanced,None,14.62,45.290001000000004,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,25
Rachel Barnhart,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,14.62,19.77,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,25
Robin Wilt,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,14.62,17.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,25
Nate McMurray,NY,U.S. House New York District 27,Representative,Regular,6/26/18,Advanced,None,-24.01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,27
Aftab Pureval,OH,U.S. House Ohio District 1,Representative,Regular,5/8/18,Advanced,None,-9.010000199999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1
Michael Milisits,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Lost,None,-8.4799995,7.400000099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,10
